"Long","Lat","Opuntia","geometry"
36.7922547531,0.61755373836,1,c(36.7922547531, 0.61755373836)
36.8081247265,0.61610295781,1,c(36.8081247265, 0.61610295781)
36.8136532219,0.6153246854,1,c(36.8136532219, 0.6153246854)
36.8180085608,0.61519356484,1,c(36.8180085608, 0.61519356484)
36.8205068304,0.61512136127,1,c(36.8205068304, 0.61512136127)
36.8275297602,0.61744221975,1,c(36.8275297602, 0.61744221975)
36.8309438085,0.61489442053,1,c(36.8309438085, 0.61489442053)
36.8331968792,0.61600527166,1,c(36.8331968792, 0.61600527166)
36.8395446227,0.61479567093,1,c(36.8395446227, 0.61479567093)
36.8416969684,0.61885636582,1,c(36.8416969684, 0.61885636582)
36.8487570464,0.61828539107,1,c(36.8487570464, 0.61828539107)
36.8504745967,0.61581127327,1,c(36.8504745967, 0.61581127327)
36.8592750334,0.61834071297,1,c(36.8592750334, 0.61834071297)
36.801204222,0.62179792162,1,c(36.801204222, 0.62179792162)
36.8183612583,0.62158611207,1,c(36.8183612583, 0.62158611207)
36.8217939563,0.62108451878,1,c(36.8217939563, 0.62108451878)
36.8240413295,0.62027565654,1,c(36.8240413295, 0.62027565654)
36.8318936141,0.62193202926,1,c(36.8318936141, 0.62193202926)
36.8357253821,0.62230400097,1,c(36.8357253821, 0.62230400097)
36.8403320767,0.62286705191,1,c(36.8403320767, 0.62286705191)
36.842740437,0.6198574677,1,c(36.842740437, 0.6198574677)
36.8478016427,0.6219495986,1,c(36.8478016427, 0.6219495986)
36.8506555375,0.6218850235,1,c(36.8506555375, 0.6218850235)
36.8591069485,0.62314019603,1,c(36.8591069485, 0.62314019603)
36.8169382631,0.62729538354,1,c(36.8169382631, 0.62729538354)
36.8229735954,0.62584861498,1,c(36.8229735954, 0.62584861498)
36.8266155244,0.62544199857,1,c(36.8266155244, 0.62544199857)
36.8279344911,0.62769453358,1,c(36.8279344911, 0.62769453358)
36.8338910698,0.62433277485,1,c(36.8338910698, 0.62433277485)
36.8392915589,0.62431503969,1,c(36.8392915589, 0.62431503969)
36.8427678096,0.62524581686,1,c(36.8427678096, 0.62524581686)
36.8480523356,0.62430101499,1,c(36.8480523356, 0.62430101499)
36.8511121215,0.62613854188,1,c(36.8511121215, 0.62613854188)
36.8587035772,0.62461891313,1,c(36.8587035772, 0.62461891313)
36.8225966491,0.63045453535,1,c(36.8225966491, 0.63045453535)
36.8239194433,0.6318029747,1,c(36.8239194433, 0.6318029747)
36.8308567998,0.63031495291,1,c(36.8308567998, 0.63031495291)
36.832411332,0.6320215963,1,c(36.832411332, 0.6320215963)
36.8386000217,0.63122334685,1,c(36.8386000217, 0.63122334685)
36.843883549,0.62998021959,1,c(36.843883549, 0.62998021959)
36.8460850259,0.63162341283,1,c(36.8460850259, 0.63162341283)
36.8536186703,0.62954655569,1,c(36.8536186703, 0.62954655569)
36.855227656,0.63055189098,1,c(36.855227656, 0.63055189098)
36.8596686022,0.63012930661,1,c(36.8596686022, 0.63012930661)
36.8242754153,0.63662754745,1,c(36.8242754153, 0.63662754745)
36.8316092841,0.63350763488,1,c(36.8316092841, 0.63350763488)
36.8347645863,0.63426268392,1,c(36.8347645863, 0.63426268392)
36.8374292437,0.63424115366,1,c(36.8374292437, 0.63424115366)
36.844326024,0.63596650004,1,c(36.844326024, 0.63596650004)
36.847014104,0.63346027828,1,c(36.847014104, 0.63346027828)
36.853285109,0.6351096891,1,c(36.853285109, 0.6351096891)
36.855877813,0.63440193834,1,c(36.855877813, 0.63440193834)
36.8626708688,0.63451093778,1,c(36.8626708688, 0.63451093778)
36.8188213098,0.6393494629,1,c(36.8188213098, 0.6393494629)
36.8260850744,0.64051285348,1,c(36.8260850744, 0.64051285348)
36.8383857901,0.64037969134,1,c(36.8383857901, 0.64037969134)
36.8445599653,0.64010588518,1,c(36.8445599653, 0.64010588518)
36.8479884082,0.64080214625,1,c(36.8479884082, 0.64080214625)
36.8536223883,0.63961177252,1,c(36.8536223883, 0.63961177252)
36.8570441651,0.6384282669,1,c(36.8570441651, 0.6384282669)
36.8125162915,0.64501489551,1,c(36.8125162915, 0.64501489551)
36.8164317019,0.64243592105,1,c(36.8164317019, 0.64243592105)
36.8210190286,0.64187188894,1,c(36.8210190286, 0.64187188894)
36.844802611,0.64391129592,1,c(36.844802611, 0.64391129592)
36.8470288807,0.64293780706,1,c(36.8470288807, 0.64293780706)
36.8531092581,0.64406206276,1,c(36.8531092581, 0.64406206276)
36.8562703527,0.64262937033,1,c(36.8562703527, 0.64262937033)
36.8395236585,0.64832191459,1,c(36.8395236585, 0.64832191459)
36.8437144516,0.64748323382,1,c(36.8437144516, 0.64748323382)
36.8466413018,0.64657064265,1,c(36.8466413018, 0.64657064265)
36.853080645,0.64724940176,1,c(36.853080645, 0.64724940176)
36.8166099076,0.65346699929,1,c(36.8166099076, 0.65346699929)
36.8387364325,0.65322595006,1,c(36.8387364325, 0.65322595006)
36.8430538335,0.65320958951,1,c(36.8430538335, 0.65320958951)
36.8505374416,0.65223093181,1,c(36.8505374416, 0.65223093181)
36.8246291539,0.65819422743,1,c(36.8246291539, 0.65819422743)
36.8386489882,0.65732838527,1,c(36.8386489882, 0.65732838527)
36.8370262664,0.67108997038,1,c(36.8370262664, 0.67108997038)
36.8522219235,0.66985360288,1,c(36.8522219235, 0.66985360288)
36.835924611,0.67682505439,1,c(36.835924611, 0.67682505439)
36.8373783753,0.67742686898,1,c(36.8373783753, 0.67742686898)
36.8117909081,0.68114537362,1,c(36.8117909081, 0.68114537362)
